wavs/9-7-18 clem interviewed by tara_1.wav-00071910_00075420.wav|Because you will know that I will be very very upset if you do.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03510600_03517020.wav|guess my motivation is always the same thing.  You know, it's a mixed while it's not a single motivation.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03513450_03517020.wav|thing.  You know, it's a mixed while it's not a single motivation.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03510450_03517020.wav|I guess my motivation is always the same thing.  You know, it's a mixed while it's not a single motivation.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03514590_03518700.wav|know, it's a mixed while it's not a single motivation.  There are a lot of different motivations.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03514350_03518700.wav|You know, it's a mixed while it's not a single motivation.  There are a lot of different motivations.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03514770_03518700.wav|a mixed while it's not a single motivation.  There are a lot of different motivations.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03513090_03518700.wav|same thing. You know, it's a mixed while it's not a single motivation.  There are a lot of different motivations.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03512970_03518700.wav|the same thing. You know, it's a mixed while it's not a single motivation.  There are a lot of different motivations.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03515640_03518700.wav|it's not a single motivation.  There are a lot of different motivations.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03515370_03518700.wav|while it's not a single motivation.  There are a lot of different motivations.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03514770_03518700.wav|it's a mixed while it's not a single motivation.  There are a lot of different motivations.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03516390_03518700.wav|motivation.  There are a lot of different motivations.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03511050_03518700.wav|my motivation is always the same thing. You know, it's a mixed while it's not a single motivation.  There are a lot of different motivations.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03511290_03518700.wav|motivation is always the same thing. You know, it's a mixed while it's not a single motivation.  There are a lot of different motivations.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03511290_03517020.wav|motivation is always the same thing.  You know, it's a mixed while it's not a single motivation.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03512160_03518700.wav|is always the same thing. You know, it's a mixed while it's not a single motivation.  There are a lot of different motivations.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03517020_03518700.wav|There are a lot of different motivations.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03515790_03518700.wav|not a single motivation.  There are a lot of different motivations.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03514350_03518700.wav|You know, it's a mixed while it's not a single motivation. There are a lot of different motivations.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03515790_03518700.wav|a single motivation.  There are a lot of different motivations.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03513450_03518700.wav|thing. You know, it's a mixed while it's not a single motivation.  There are a lot of different motivations.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03512490_03518700.wav|always the same thing. You know, it's a mixed while it's not a single motivation.  There are a lot of different motivations.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03514980_03518700.wav|mixed while it's not a single motivation.  There are a lot of different motivations.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03516060_03518700.wav|single motivation.  There are a lot of different motivations.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03517290_03525240.wav|lot of different motivations.  Most of them I consider insignificant and common to my human condition.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03517560_03525240.wav|different motivations.  Most of them I consider insignificant and common to my human condition.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03519150_03525240.wav|Most of them I consider insignificant and common to my human condition.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03517860_03525240.wav|motivations.  Most of them I consider insignificant and common to my human condition.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03517290_03525240.wav|of different motivations.  Most of them I consider insignificant and common to my human condition.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03574260_03575760.wav|okay make it simple.  Yeah.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03573900_03575760.wav|Yeah, okay make it simple.  Yeah.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03574560_03575760.wav|make it simple.  Yeah.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03582900_03584910.wav|Yeah, it's just a grand adventure really.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03583710_03590310.wav|grand adventure really.  And I think it has a huge potential to have a very important impact in my life.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03583440_03590310.wav|a grand adventure really.  And I think it has a huge potential to have a very important impact in my life.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03584040_03590310.wav|adventure really.  And I think it has a huge potential to have a very important impact in my life.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03584940_03590310.wav|And I think it has a huge potential to have a very important impact in my life.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03583260_03590310.wav|it's just a grand adventure really.  And I think it has a huge potential to have a very important impact in my life.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03583440_03590310.wav|just a grand adventure really.  And I think it has a huge potential to have a very important impact in my life.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03584490_03590310.wav|really.  And I think it has a huge potential to have a very important impact in my life.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03582900_03590310.wav|Yeah, it's just a grand adventure really. And I think it has a huge potential to have a very important impact in my life.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03582900_03590310.wav|Yeah, it's just a grand adventure really.  And I think it has a huge potential to have a very important impact in my life.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03589650_03597570.wav|in my life.  And I'm very with like, yeah, this trip is a huge adventure.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03589890_03597570.wav|life.  And I'm very with like, yeah, this trip is a huge adventure.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03590670_03597570.wav|And I'm very with like, yeah, this trip is a huge adventure.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03589650_03597570.wav|my life.  And I'm very with like, yeah, this trip is a huge adventure.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03596490_03602730.wav|huge adventure.  It has a is going to have a large impact in my life.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03596220_03602730.wav|is a huge adventure.  It has a is going to have a large impact in my life.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03598950_03602730.wav|It has a is going to have a large impact in my life.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03596220_03602730.wav|a huge adventure.  It has a is going to have a large impact in my life.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03595950_03602730.wav|trip is a huge adventure.  It has a is going to have a large impact in my life.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03595530_03602730.wav|this trip is a huge adventure.  It has a is going to have a large impact in my life.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03596910_03602730.wav|adventure.  It has a is going to have a large impact in my life.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03789180_03794850.wav|are in the Marshall Islands.  So rather odd place to get ready for a trip to the Arctic.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03789330_03794850.wav|the Marshall Islands.  So rather odd place to get ready for a trip to the Arctic.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03789810_03794850.wav|Islands.  So rather odd place to get ready for a trip to the Arctic.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03788790_03794850.wav|We are in the Marshall Islands.  So rather odd place to get ready for a trip to the Arctic.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03789390_03794850.wav|Marshall Islands.  So rather odd place to get ready for a trip to the Arctic.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03791580_03794850.wav|So rather odd place to get ready for a trip to the Arctic.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03789180_03794850.wav|in the Marshall Islands.  So rather odd place to get ready for a trip to the Arctic.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03792840_03799770.wav|to get ready for a trip to the Arctic.  It's in the middle of the Pacific about as much in the middle as one can get.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03793680_03799770.wav|trip to the Arctic.  It's in the middle of the Pacific about as much in the middle as one can get.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03793980_03799770.wav|to the Arctic.  It's in the middle of the Pacific about as much in the middle as one can get.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03795540_03799770.wav|It's in the middle of the Pacific about as much in the middle as one can get.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03793170_03799770.wav|ready for a trip to the Arctic.  It's in the middle of the Pacific about as much in the middle as one can get.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03791910_03799770.wav|rather odd place to get ready for a trip to the Arctic.  It's in the middle of the Pacific about as much in the middle as one can get.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03793980_03799770.wav|the Arctic.  It's in the middle of the Pacific about as much in the middle as one can get.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03793440_03799770.wav|a trip to the Arctic.  It's in the middle of the Pacific about as much in the middle as one can get.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03794220_03799770.wav|Arctic.  It's in the middle of the Pacific about as much in the middle as one can get.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03792840_03799770.wav|get ready for a trip to the Arctic.  It's in the middle of the Pacific about as much in the middle as one can get.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03793440_03799770.wav|for a trip to the Arctic.  It's in the middle of the Pacific about as much in the middle as one can get.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03792480_03799770.wav|place to get ready for a trip to the Arctic.  It's in the middle of the Pacific about as much in the middle as one can get.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03792240_03799770.wav|odd place to get ready for a trip to the Arctic.  It's in the middle of the Pacific about as much in the middle as one can get.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03796230_03803040.wav|the Pacific about as much in the middle as one can get.  Our last engagement was in Tonga.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03796560_03803040.wav|Pacific about as much in the middle as one can get.  Our last engagement was in Tonga.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03799140_03803040.wav|can get.  Our last engagement was in Tonga.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03798360_03803040.wav|in the middle as one can get.  Our last engagement was in Tonga.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03798360_03803040.wav|the middle as one can get.  Our last engagement was in Tonga.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03798510_03803040.wav|middle as one can get.  Our last engagement was in Tonga.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03798090_03803040.wav|much in the middle as one can get.  Our last engagement was in Tonga.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03798780_03803040.wav|one can get.  Our last engagement was in Tonga.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03795540_03803040.wav|It's in the middle of the Pacific about as much in the middle as one can get.  Our last engagement was in Tonga.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03798780_03803040.wav|as one can get.  Our last engagement was in Tonga.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03795990_03803040.wav|middle of the Pacific about as much in the middle as one can get.  Our last engagement was in Tonga.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03799350_03803040.wav|get.  Our last engagement was in Tonga.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03795810_03803040.wav|in the middle of the Pacific about as much in the middle as one can get.  Our last engagement was in Tonga.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03801330_03803040.wav|Our last engagement was in Tonga.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03795810_03803040.wav|the middle of the Pacific about as much in the middle as one can get.  Our last engagement was in Tonga.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03797790_03803040.wav|as much in the middle as one can get.  Our last engagement was in Tonga.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03796230_03803040.wav|of the Pacific about as much in the middle as one can get.  Our last engagement was in Tonga.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03797340_03803040.wav|about as much in the middle as one can get.  Our last engagement was in Tonga.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03803040_03807270.wav|So from Tonga towards Alaska, it's pretty much on the way.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03802260_03807270.wav|was in Tonga.  So from Tonga towards Alaska, it's pretty much on the way.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03801330_03807270.wav|Our last engagement was in Tonga. So from Tonga towards Alaska, it's pretty much on the way.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03801330_03807270.wav|Our last engagement was in Tonga.  So from Tonga towards Alaska, it's pretty much on the way.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03799350_03807270.wav|get. Our last engagement was in Tonga.  So from Tonga towards Alaska, it's pretty much on the way.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03801810_03807270.wav|engagement was in Tonga.  So from Tonga towards Alaska, it's pretty much on the way.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03802560_03807270.wav|Tonga.  So from Tonga towards Alaska, it's pretty much on the way.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03801540_03807270.wav|last engagement was in Tonga.  So from Tonga towards Alaska, it's pretty much on the way.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03802260_03807270.wav|in Tonga.  So from Tonga towards Alaska, it's pretty much on the way.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03808380_03813450.wav|It's one of the places relatively well connected to the US.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03806250_03813450.wav|pretty much on the way.  It's one of the places relatively well connected to the US.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03806490_03813450.wav|much on the way.  It's one of the places relatively well connected to the US.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03806760_03813450.wav|on the way.  It's one of the places relatively well connected to the US.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03806760_03813450.wav|the way.  It's one of the places relatively well connected to the US.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03806910_03813450.wav|way.  It's one of the places relatively well connected to the US.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03806040_03813450.wav|it's pretty much on the way.  It's one of the places relatively well connected to the US.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03821460_03826740.wav|the outskirts of Alaska.  And we have a lot of work to do.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03819360_03826740.wav|large ocean crossing to the outskirts of Alaska.  And we have a lot of work to do.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03822450_03826740.wav|of Alaska.  And we have a lot of work to do.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03820380_03826740.wav|crossing to the outskirts of Alaska.  And we have a lot of work to do.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03820080_03826740.wav|ocean crossing to the outskirts of Alaska.  And we have a lot of work to do.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03819030_03826740.wav|our large ocean crossing to the outskirts of Alaska.  And we have a lot of work to do.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03822000_03826740.wav|outskirts of Alaska.  And we have a lot of work to do.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03824550_03826740.wav|And we have a lot of work to do.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03822570_03826740.wav|Alaska.  And we have a lot of work to do.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03821460_03826740.wav|to the outskirts of Alaska.  And we have a lot of work to do.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03845220_03851100.wav|different improvements.  For instance, we are changing out our transmission.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03843600_03851100.wav|yeah many many many different improvements.  For instance, we are changing out our transmission.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03844470_03851100.wav|many different improvements.  For instance, we are changing out our transmission.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03846450_03851100.wav|improvements.  For instance, we are changing out our transmission.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03847920_03851100.wav|For instance, we are changing out our transmission.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03843930_03851100.wav|many many many different improvements.  For instance, we are changing out our transmission.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03844230_03851100.wav|many many different improvements.  For instance, we are changing out our transmission.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03871950_03879870.wav|one was.  So that'll be an adventure doing that in the water will most people would change their transmission in a dry dock.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03872160_03879870.wav|was.  So that'll be an adventure doing that in the water will most people would change their transmission in a dry dock.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03873150_03879870.wav|So that'll be an adventure doing that in the water will most people would change their transmission in a dry dock.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03880260_03887760.wav|It involves pulling the shaft and which has you know, opens the potential for a lot of water running into the engine room.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03885690_03892530.wav|for a lot of water running into the engine room.  But I feel confident that we can manage that here in the water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03887400_03892530.wav|room.  But I feel confident that we can manage that here in the water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03886200_03892530.wav|water running into the engine room.  But I feel confident that we can manage that here in the water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03887100_03892530.wav|engine room.  But I feel confident that we can manage that here in the water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03885960_03892530.wav|of water running into the engine room.  But I feel confident that we can manage that here in the water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03886740_03892530.wav|into the engine room.  But I feel confident that we can manage that here in the water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03885210_03892530.wav|potential for a lot of water running into the engine room.  But I feel confident that we can manage that here in the water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03886470_03892530.wav|running into the engine room.  But I feel confident that we can manage that here in the water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03884700_03892530.wav|opens the potential for a lot of water running into the engine room.  But I feel confident that we can manage that here in the water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03886980_03892530.wav|the engine room.  But I feel confident that we can manage that here in the water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03885120_03892530.wav|the potential for a lot of water running into the engine room.  But I feel confident that we can manage that here in the water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03888810_03892530.wav|But I feel confident that we can manage that here in the water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03885960_03892530.wav|lot of water running into the engine room.  But I feel confident that we can manage that here in the water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03885690_03892530.wav|a lot of water running into the engine room.  But I feel confident that we can manage that here in the water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03888810_03896460.wav|But I feel confident that we can manage that here in the water.  I hope it won't get too exciting.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03889950_03896460.wav|that we can manage that here in the water.  I hope it won't get too exciting.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03890700_03896460.wav|that here in the water.  I hope it won't get too exciting.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03890340_03896460.wav|manage that here in the water.  I hope it won't get too exciting.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03890100_03896460.wav|we can manage that here in the water.  I hope it won't get too exciting.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03891900_03896460.wav|water.  I hope it won't get too exciting.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03891660_03896460.wav|the water.  I hope it won't get too exciting.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03888810_03896460.wav|I feel confident that we can manage that here in the water.  I hope it won't get too exciting.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03890100_03896460.wav|can manage that here in the water.  I hope it won't get too exciting.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03894810_03896460.wav|I hope it won't get too exciting.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03889470_03896460.wav|confident that we can manage that here in the water.  I hope it won't get too exciting.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03889260_03896460.wav|feel confident that we can manage that here in the water.  I hope it won't get too exciting.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03891060_03896460.wav|here in the water.  I hope it won't get too exciting.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03891660_03896460.wav|in the water.  I hope it won't get too exciting.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03922830_03927660.wav|get fixed all kinds of stuff like that.  And we have very little time.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03922440_03927660.wav|that need to get fixed all kinds of stuff like that.  And we have very little time.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03923910_03927660.wav|all kinds of stuff like that.  And we have very little time.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03919860_03927660.wav|that needs to get painted some leaks that need to get fixed all kinds of stuff like that.  And we have very little time.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03924630_03927660.wav|stuff like that.  And we have very little time.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03922830_03927660.wav|to get fixed all kinds of stuff like that.  And we have very little time.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03921630_03929070.wav|some leaks that need to get fixed all kinds of stuff like that. And we have very little time.  So I hope we get ready.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03921630_03927660.wav|some leaks that need to get fixed all kinds of stuff like that.  And we have very little time.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03922830_03929070.wav|get fixed all kinds of stuff like that. And we have very little time.  So I hope we get ready.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03925080_03927660.wav|that.  And we have very little time.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03920280_03927660.wav|to get painted some leaks that need to get fixed all kinds of stuff like that.  And we have very little time.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03920040_03927660.wav|needs to get painted some leaks that need to get fixed all kinds of stuff like that.  And we have very little time.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03920280_03927660.wav|get painted some leaks that need to get fixed all kinds of stuff like that.  And we have very little time.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03924240_03927660.wav|kinds of stuff like that.  And we have very little time.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03924540_03927660.wav|of stuff like that.  And we have very little time.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03920610_03927660.wav|painted some leaks that need to get fixed all kinds of stuff like that.  And we have very little time.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03927270_03929070.wav|time.  So I hope we get ready.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03926190_03929070.wav|we have very little time.  So I hope we get ready.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03925080_03929070.wav|that. And we have very little time.  So I hope we get ready.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03927660_03929070.wav|So I hope we get ready.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03921930_03929070.wav|leaks that need to get fixed all kinds of stuff like that. And we have very little time.  So I hope we get ready.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03926190_03927660.wav|And we have very little time.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03921930_03927660.wav|leaks that need to get fixed all kinds of stuff like that.  And we have very little time.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03924540_03929070.wav|of stuff like that. And we have very little time.  So I hope we get ready.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03923160_03929070.wav|fixed all kinds of stuff like that. And we have very little time.  So I hope we get ready.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03924630_03929070.wav|stuff like that. And we have very little time.  So I hope we get ready.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03922590_03929070.wav|need to get fixed all kinds of stuff like that. And we have very little time.  So I hope we get ready.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03922830_03929070.wav|to get fixed all kinds of stuff like that. And we have very little time.  So I hope we get ready.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03924240_03929070.wav|kinds of stuff like that. And we have very little time.  So I hope we get ready.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03926190_03929070.wav|And we have very little time.  So I hope we get ready.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03922440_03929070.wav|that need to get fixed all kinds of stuff like that. And we have very little time.  So I hope we get ready.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03924870_03927660.wav|like that.  And we have very little time.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03923160_03927660.wav|fixed all kinds of stuff like that.  And we have very little time.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03922590_03927660.wav|need to get fixed all kinds of stuff like that.  And we have very little time.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03924870_03929070.wav|like that. And we have very little time.  So I hope we get ready.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03926190_03929070.wav|And we have very little time. So I hope we get ready.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03923910_03929070.wav|all kinds of stuff like that. And we have very little time.  So I hope we get ready.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03927030_03929070.wav|little time.  So I hope we get ready.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03926640_03929070.wav|have very little time.  So I hope we get ready.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03926820_03929070.wav|very little time.  So I hope we get ready.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03957450_03960000.wav|a very unique place.  It's It's amazing.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03956280_03960000.wav|Islands is a very unique place.  It's It's amazing.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03957960_03960000.wav|unique place.  It's It's amazing.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03957450_03960000.wav|is a very unique place.  It's It's amazing.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03958320_03960000.wav|place.  It's It's amazing.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03955980_03960000.wav|Marshall Islands is a very unique place.  It's It's amazing.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03959820_03964800.wav|amazing.  Many many very large atolls strewn over a large area of the ocean.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03957450_03964800.wav|a very unique place. It's It's amazing.  Many many very large atolls strewn over a large area of the ocean.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03957750_03964800.wav|very unique place. It's It's amazing.  Many many very large atolls strewn over a large area of the ocean.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03958920_03964800.wav|It's It's amazing.  Many many very large atolls strewn over a large area of the ocean.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03959640_03964800.wav|It's amazing.  Many many very large atolls strewn over a large area of the ocean.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03958320_03964800.wav|place. It's It's amazing.  Many many very large atolls strewn over a large area of the ocean.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03957450_03964800.wav|is a very unique place. It's It's amazing.  Many many very large atolls strewn over a large area of the ocean.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03957750_03960000.wav|very unique place.  It's It's amazing.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03957960_03964800.wav|unique place. It's It's amazing.  Many many very large atolls strewn over a large area of the ocean.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03958920_03964800.wav|It's It's amazing. Many many very large atolls strewn over a large area of the ocean.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03958920_03960000.wav|It's It's amazing.
wavs/2-9-18 clem first interview in aft cabin_1.wav-03960000_03964800.wav|Many many very large atolls strewn over a large area of the ocean.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04017809_04024979.wav|start there differently.  The Marshall islands are in the middle of the Pacific about as remote as one can get.
